SOC2018Code,SOC2018Title,CIP2020Code,CIP2020Title
29-2042,Emergency Medical Technicians,51.0904,Emergency Medical Technology/Technician (EMT Paramedic).
29-2043,Paramedics,51.0904,Emergency Medical Technology/Technician (EMT Paramedic).
29-9021,Health Information Technologists and Medical Registrars,51.0706,Health Information/Medical Records Administration/Administrator.
29-9021,Health Information Technologists and Medical Registrars,51.0707,Health Information/Medical Records Technology/Technician.
29-9021,Health Information Technologists and Medical Registrars,51.0713,Medical Insurance Coding Specialist/Coder.
29-9021,Health Information Technologists and Medical Registrars,51.2706,Medical Informatics.
29-9093,Surgical Assistants,51.0909,Surgical Technology/Technologist.
31-1122,Personal Care Aides,51.2602,Home Health Aide/Home Attendant.
33-1091,First-Line Supervisors of Security Workers,43.0109,Security and Loss Prevention Services.
33-1091,First-Line Supervisors of Security Workers,43.0112,Securities Services Administration/Management.
33-1091,First-Line Supervisors of Security Workers,43.0399,"Homeland Security, Other."
33-9094,School Bus Monitors,99.9999,NO MATCH
35-3023,Fast Food and Counter Workers,99.9999,NO MATCH
39-1013,First-Line Supervisors of Gambling Services Workers,52.0908,Casino Management.
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",31.0601,Outdoor Education.
39-4012,Crematory Operators,12.0303,Mortuary Science and Embalming/Embalmer.
39-4012,Crematory Operators,12.0399,"Funeral Service and Mortuary Science, Other."
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",52.1803,Retailing and Retail Operations.
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",52.1804,Selling Skills and Sales Operations.
45-3031,Fishing and Hunting Workers,03.0301,Fishing and Fisheries Sciences and Management.
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation.
47-5044,"Loading and Moving Machine Operators, Underground Mining",99.9999,NO MATCH
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",47.0603,Autobody/Collision and Repair Technology/Technician.
51-9161,Computer Numerically Controlled Tool Operators,48.0503,Machine Shop Technology/Assistant.
51-9161,Computer Numerically Controlled Tool Operators,48.0510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist.
51-9162,Computer Numerically Controlled Tool Programmers,48.0510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist.
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,49.0208,Railroad and Railway Transportation.
53-1044,First-Line Supervisors of Passenger Attendants,49.0106,Airline Flight Attendant.
53-1049,"First-Line Supervisors of Transportation Workers, All Other",49.0208,Railroad and Railway Transportation.
53-3051,"Bus Drivers, School",49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor.
53-3053,Shuttle Drivers and Chauffeurs,49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor.
53-3054,Taxi Drivers,99.9999,NO MATCH
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",49.0208,Railroad and Railway Transportation.
53-6032,Aircraft Service Attendants,99.9999,NO MATCH
53-7065,Stockers and Order Fillers,99.9999,NO MATCH
