UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,DEBT_ALL_STGP_EVAL_N,DEBT_ALL_STGP_EVAL_MDN,EARN_MDN_HI_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR
100812,1008,Athens State University,Public,1,3907,Pastoral Counseling and Specialized Ministries.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,4301,Criminal Justice and Corrections.,1,Undergraduate Certificate or Diploma,2,3,PS,PS,PS,PS,PS,PS,PS
100812,1008,Athens State University,Public,1,4304,Security Science and Technology.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,4901,Air Transportation.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,5001,"Visual and Performing Arts, General.",1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,5107,Health and Medical Administrative Services.,1,Undergraduate Certificate or Diploma,1,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,5111,Health/Medical Preparatory Programs.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,5122,Public Health.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100812,1008,Athens State University,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,9,10,PS,PS,NA,PS,PS,PS,PS
100812,1008,Athens State University,Public,1,5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,2,1,PS,PS,NA,PS,PS,PS,PS
100812,1008,Athens State University,Public,1,5210,Human Resources Management and Services.,1,Undergraduate Certificate or Diploma,3,1,PS,PS,NA,PS,PS,PS,PS
100812,1008,Athens State University,Public,1,5212,Management Information Systems and Services.,1,Undergraduate Certificate or Diploma,2,1,PS,PS,NA,PS,PS,PS,PS
100812,1008,Athens State University,Public,1,5299,"Business, Management, Marketing, and Related Support Services, Other.",1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
100830,8310,Auburn University at Montgomery,Public,1,1310,Special Education and Teaching.,1,Undergraduate Certificate or Diploma,NA,2,NA,NA,NA,NA,NA,NA,NA
100830,8310,Auburn University at Montgomery,Public,1,2313,Rhetoric and Composition/Writing Studies.,1,Undergraduate Certificate or Diploma,2,1,NA,NA,NA,PS,PS,PS,PS
100830,8310,Auburn University at Montgomery,Public,1,4507,Geography and Cartography.,1,Undergraduate Certificate or Diploma,2,1,PS,PS,PS,PS,PS,PS,PS
100830,8310,Auburn University at Montgomery,Public,1,5007,Fine and Studio Arts.,1,Undergraduate Certificate or Diploma,2,0,PS,PS,PS,NA,NA,NA,NA
100858,1009,Auburn University,Public,1,1110,Computer/Information Technology Administration and Management.,1,Undergraduate Certificate or Diploma,NA,2,NA,NA,NA,NA,NA,NA,NA
100858,1009,Auburn University,Public,1,1999,"Family and Consumer Sciences/Human Sciences, Other.",1,Undergraduate Certificate or Diploma,2,2,NA,NA,NA,PS,PS,PS,PS
100858,1009,Auburn University,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,0,2,PS,PS,NA,PS,PS,PS,PS
100858,1009,Auburn University,Public,1,4404,Public Administration.,1,Undergraduate Certificate or Diploma,1,1,NA,NA,NA,NA,NA,NA,NA
100858,1009,Auburn University,Public,1,4507,Geography and Cartography.,1,Undergraduate Certificate or Diploma,NA,1,NA,NA,NA,NA,NA,NA,NA
100858,1009,Auburn University,Public,1,4901,Air Transportation.,1,Undergraduate Certificate or Diploma,NA,1,NA,NA,NA,NA,NA,NA,NA
100858,1009,Auburn University,Public,1,5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,5,0,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,6,13,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,35,37,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,3,2,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,188,124,PS,PS,NA,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,4301,Criminal Justice and Corrections.,1,Undergraduate Certificate or Diploma,16,19,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,4302,Fire Protection.,1,Undergraduate Certificate or Diploma,15,22,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5004,Design and Applied Arts.,1,Undergraduate Certificate or Diploma,5,3,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5108,Allied Health and Medical Assisting Services.,1,Undergraduate Certificate or Diploma,27,22,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,41,15,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,51,49,16,PS,PS,21,63335,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,31,38,PS,PS,PS,PS,PS,PS,PS
101028,12182,Chattahoochee Valley Community College,Public,1,5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
101028,12182,Chattahoochee Valley Community College,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,1,0,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,5,2,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,1108,Computer Software and Media Applications.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,8,2,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,2203,Legal Support Services.,1,Undergraduate Certificate or Diploma,5,1,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,0,0,PS,PS,9528,PS,PS,71,35460
101143,1015,Enterprise State Community College,Public,1,4703,Heavy/Industrial Equipment Maintenance Technologies/Technicians.,1,Undergraduate Certificate or Diploma,10,32,NA,NA,NA,NA,NA,NA,NA
101143,1015,Enterprise State Community College,Public,1,4706,Vehicle Maintenance and Repair Technologies/Technicians.,1,Undergraduate Certificate or Diploma,135,177,PS,PS,PS,PS,PS,55,67958
101143,1015,Enterprise State Community College,Public,1,5107,Health and Medical Administrative Services.,1,Undergraduate Certificate or Diploma,3,3,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,41,1,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,7,7,NA,NA,NA,NA,NA,NA,NA
101143,1015,Enterprise State Community College,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,0,1,PS,PS,PS,PS,PS,PS,PS
101143,1015,Enterprise State Community College,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1003,Graphic Communications.,1,Undergraduate Certificate or Diploma,0,6,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,1,8,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,24,35,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1505,Environmental Control Technologies/Technicians.,1,Undergraduate Certificate or Diploma,NA,NA,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,56,121,PS,PS,32480,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1508,Mechanical Engineering Related Technologies/Technicians.,1,Undergraduate Certificate or Diploma,7,6,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1513,Drafting/Design Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,22,20,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,7,21,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,2203,Legal Support Services.,1,Undergraduate Certificate or Diploma,1,8,PS,PS,NA,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,NA,0,NA,NA,NA,NA,NA,NA,NA
101161,1060,Coastal Alabama Community College,Public,1,4601,Mason/Masonry.,1,Undergraduate Certificate or Diploma,3,0,NA,NA,NA,NA,NA,NA,NA
101161,1060,Coastal Alabama Community College,Public,1,4605,Plumbing and Related Water Supply Services.,1,Undergraduate Certificate or Diploma,NA,2,NA,NA,NA,NA,NA,NA,NA
101161,1060,Coastal Alabama Community College,Public,1,4706,Vehicle Maintenance and Repair Technologies/Technicians.,1,Undergraduate Certificate or Diploma,77,29,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,4805,Precision Metal Working.,1,Undergraduate Certificate or Diploma,196,139,PS,PS,PS,PS,PS,38,33329
101161,1060,Coastal Alabama Community College,Public,1,4807,Woodworking.,1,Undergraduate Certificate or Diploma,NA,NA,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5004,Design and Applied Arts.,1,Undergraduate Certificate or Diploma,0,7,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5106,Dental Support Services and Allied Professions.,1,Undergraduate Certificate or Diploma,10,12,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,113,94,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,136,167,PS,PS,31675,PS,PS,32,47139
101161,1060,Coastal Alabama Community College,Public,1,5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,2,18,NA,NA,NA,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,8,12,PS,PS,PS,PS,PS,PS,PS
101161,1060,Coastal Alabama Community College,Public,1,5209,Hospitality Administration/Management.,1,Undergraduate Certificate or Diploma,3,20,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,103,Agricultural Production Operations.,1,Undergraduate Certificate or Diploma,NA,NA,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,5,144,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,83,88,PS,PS,PS,PS,PS,24,24629
101240,1017,Gadsden State Community College,Public,1,1502,Civil Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,25,30,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1503,Electrical/Electronic Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,17,5,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1505,Environmental Control Technologies/Technicians.,1,Undergraduate Certificate or Diploma,53,59,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,1,1,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,1513,Drafting/Design Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,12,3,PS,PS,PS,PS,PS,PS,PS
